lon,lat,name,noise
-80.72839 , -1.05305 , CSEC , 1.5
-78.36086 , 0.794584 , LIEC , 1.5
-80.16952 , -2.96871 , PUNA , 1.5
-79.38507 , 1.06763 , RVRD , 1.5
-78.84711 , 1.29260 , SNLR , 1.5
-79.85933 , 0.86165 , TRAT , 1.5
-79.15365 , 1.10194 , TRLP , 1.5
-80.01439 , 0.81649 , TRPG , 1.5
-79.62541 , 0.97878 , TRTH , 1.5
-80.07581 , -3.58249 , ARNS , 1.5
-79.09819 , 0.09634 , ARSH , 1.5
-76.88283 , -0.64077 , AUCA , 1.5
-80.75836 , -1.97195 , AYAN , 1.5
-77.88654 , -0.45908 , BAEZ , 1.5
-80.39787 , -0.65891 , BAHI , 1.5
-80.42901 , -0.38671 , CABP , 1.5
-79.25746 , -2.46614 , COCH , 1.5
-77.78698 , 0.71606 , COEC , 1.5
-80.01166 , -1.54827 , COLI , 1.5
-78.01762 , -0.42319 , CUYU , 1.5
-78.00337 , 0.74029 , EANG , 1.5
-79.72432 , 0.93463 , ESMR , 1.5
-79.84268 , -0.35743 , FLFR , 1.5
-78.7081 ,  -1.93511 , GMTE , 1.5
-78.85022 , -0.35154 , HSPR , 1.5
-78.11568 , 0.35015 , IBEC , 1.5
-81.07355 , -1.26214 , ISPT , 1.5
-80.62875 , -1.37232 , JPJP , 1.5
-80.26701 , -0.90797 , LCSD , 1.5
-79.57536 , 0.38195 , LGCB , 1.5
-77.32784 , 0.13679 , LUMB , 1.5
-80.76294 , -1.48089 , MHLA , 1.5
-80.90568 , -1.06645 , MLEC , 1.5
-80.04653 , 0.49222 , MOMP , 1.5
-80.34141 , -2.64471 , MRO2 , 1.5
-79.15980 , 0.58200 , PBLR , 1.5
-79.99104 , 0.11141 , PDNS , 1.5
-78.43544 , -1.07761 , PIS1 , 1.5
-80.21649 , -0.12530 , PPRT , 1.5
-80.03036 , 0.78153 , PTGL , 1.5
-78.02489 , -1.49310 , PYEC , 1.5
-78.49739 , -0.23720 , QUEM , 1.5
-78.65111 , -1.65058 , RIOP , 1.5
-78.15469 , -0.23315 , SALF , 1.5
-80.99085 , -2.18621 , SALN , 1.5
-80.03402 , -0.97381 , SEVG , 1.5
-80.19389 , -0.38150 , SIDR , 1.5
-80.84919 , -1.59998 , SLGO , 1.5
-77.81640 , -0.99002 , TEN1 , 1.5
-78.46056 , -0.18159 , UIOM , 1.5
-79.54637 , 0.62802 , VIHE , 1.5
-78.76212 , -3.86140 , YTZA , 1.5
-78.16229 , -0.46344 , ANTN , 1.5
-78.17039 , -0.49730 , ASEC , 1.5
-78.50155 , -1.44663 , BIEC , 1.5
-78.50631 , -0.67989 , CAME , 1.5
-77.97246 , 0.82063  , CENE , 1.5
-78.31191 , 0.31987 , CCNE , 1.5
-77.91790 , 0.80249 , CHLS , 1.5
-77.94619 , 0.79226 , CHLW , 1.5
-78.77572 , -1.46680 , CHZO , 1.5
-78.46315 , -1.43311 , CNEC , 1.5
-78.41369 , -0.65995 , CONE , 1.5
-78.36100 , 0.30400 , CUIC , 1.5
-77.99215 , 0.07070 , CYMI , 1.5
-78.01105 , 0.00687 , CYRF , 1.5
-78.59365 , -0.18043 , GGPA , 1.5
-78.45880 , -0.72531 , MORU , 1.5
-78.48304 , -1.49317 , MZEC , 1.5
-78.48747 , -0.67489 , NAS1 , 1.5
-78.50230 , 0.02179 , PLHA , 1.5
-78.64125 , -0.68110 , PSTC , 1.5
-78.91793 , -0.87121 , QLTA , 1.5
-78.44241 , -1.45180 , RETU , 1.5
-78.58934 , -0.72929 , SAGU , 1.5
-78.45845 , -0.64478 , SHEC , 1.5
-78.40110 , -0.68719 , TAMB , 1.5
-78.40315 , -0.64205 , VC1G , 1.5
-78.39436 , -0.79167 , VCES , 1.5
-78.41241 , -1.36381 , VZCY , 1.5
